Agency Code,Category Code,Element Code,Project Code,ACEP,Agency Name,Category Description,Element Description,Project Title,Needs Code,Total Budget,Parent ACEP
D,903,AW,9R,D903AW9R,Bridges and Tunnels,TSMO,AGENCY-WIDE,SCADA SYSTEMS,NR,28.48,
T,901,1,1,T9010101,New York City Transit,SUBWAY CARS,SUBWAY CARS,Purchase 355 New B-Division Cars,NR,1775,
T,901,1,2,T9010102,New York City Transit,SUBWAY CARS,SUBWAY CARS,Purchase New A-Division Cars,NR,3950,
T,901,1,3,T9010103,New York City Transit,SUBWAY CARS,SUBWAY CARS,Additional Rolling Stock Support,NR,1891.98,
T,903,2,1,T9030201,New York City Transit,BUSES,BUS REPLACEMENT,Purchase 500 Standard ZEF Buses,VAR,797.14,
T,903,2,2,T9030202,New York City Transit,BUSES,BUS REPLACEMENT,Purchase 855 Standard Buses,NR,849.12,
T,903,2,3,T9030203,New York City Transit,BUSES,BUS REPLACEMENT,Purchase 556 Articulated Buses,NR,719.56,
T,903,2,5,T9030205,New York City Transit,BUSES,BUS REPLACEMENT,Purchase 350 Express Buses,NR,325.86,
T,903,2,7,T9030207,New York City Transit,BUSES,BUS REPLACEMENT,Bus Charging,SI,589.36,
T,903,2,8,T9030208,New York City Transit,BUSES,BUS REPLACEMENT,Bus Technology,SI,12.12,
T,904,4,1,T9040401,New York City Transit,PASSENGER STATIONS,FARE COLLECTION,Next Generation Turnstiles,SI,600,
T,904,7,1,T9040701,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS / ELEVATORS,Replace 45 Elevators,NR,520.48,
T,904,7,2,T9040702,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS / ELEVATORS,Replace 43 Escalators,NR,606.62,
T,904,12,1,T9041201,New York City Transit,PASSENGER STATIONS,STATION WORK,Station Renewals: 10 Locations,SGR,758.05,
T,904,12,2,T9041202,New York City Transit,PASSENGER STATIONS,STATION WORK,Station Components: Various Locations,SGR,2158.72,
T,904,12,3,T9041203,New York City Transit,PASSENGER STATIONS,STATION WORK,SBMP - Stations,SGR,271.2,
T,904,12,4,T9041204,New York City Transit,PASSENGER STATIONS,STATION WORK,Other Station Work,VAR,104.58,
T,904,12,8,T9041208,New York City Transit,PASSENGER STATIONS,STATION WORK,181 St / 8 Av (A line),SGR,,T9041201
T,904,12,9,T9041209,New York City Transit,PASSENGER STATIONS,STATION WORK,Junction Blvd / Flushing (7 line),SGR,,T9041201
T,904,12,10,T9041210,New York City Transit,PASSENGER STATIONS,STATION WORK,51 St / Lexington Av (6 line),SGR,,T9041201
T,904,12,11,T9041211,New York City Transit,PASSENGER STATIONS,STATION WORK,Additional Station Renewals TBD,SGR,,T9041201
T,904,13,RR,T90413RR,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,ADA Station Investments,SI,6911,
T,904,13,1,T9041301,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,"Central Park North (110 St) / Lenox (2, 3 lines)",SI,,T90413RR
T,904,13,2,T9041302,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,23 St / Broadway - 7th Ave (1 line),SI,,T90413RR
T,904,13,3,T9041303,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,"Van Siclen Av / Jamaica (J, Z lines)",SI,,T90413RR
T,904,13,4,T9041304,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,"121 St / Jamaica (J, Z lines)",SI,,T90413RR
T,904,13,5,T9041305,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,"W Farms Sq - E Tremont Av / White Plains Rd (2, 5 lines)",SI,,T90413RR
T,904,13,6,T9041306,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,Flushing Av / Crosstown (G line),SI,,T90413RR
T,904,13,7,T9041307,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,Myrtle-Willoughby Avs / Crosstown (G line),SI,,T90413RR
T,904,13,8,T9041308,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,155 St / Eighth Avenue (C line),SI,,T90413RR
T,904,13,9,T9041309,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,Elder Av / Pelham (6 line),SI,,T90413RR
T,904,13,10,T9041310,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,Nostrand Av / Eastern Parkway (3 line),SI,,T90413RR
T,904,13,11,T9041311,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,"President St / Nostrand (2, 5 lines)",SI,,T90413RR
