"Month","Agency","Ridership"
"2008-01-01","MNR","6,453,734"
"2008-02-01","MNR","6,144,377"
"2008-03-01","MNR","6,602,280"
"2008-04-01","B&T","24,900,328"
"2008-04-01","MNR","6,787,480"
"2008-05-01","B&T","26,172,575"
"2008-05-01","MNR","6,840,901"
"2008-06-01","B&T","25,940,107"
"2008-06-01","MNR","7,008,657"
"2008-07-01","B&T","26,189,384"
"2008-07-01","MNR","7,298,152"
"2008-08-01","B&T","26,448,624"
"2008-08-01","MNR","6,826,968"
"2008-09-01","B&T","24,633,191"
"2008-09-01","MNR","6,833,215"
"2008-10-01","B&T","25,258,664"
"2008-10-01","MNR","7,322,841"
"2008-11-01","B&T","23,914,201"
"2008-11-01","MNR","6,357,900"
"2008-12-01","B&T","24,218,648"
"2008-12-01","MNR","6,989,977"
"2009-01-01","B&T","22,260,909"
"2009-01-01","MNR","6,176,035"
"2009-02-01","B&T","21,497,488"
"2009-02-01","MNR","5,731,571"
"2009-03-01","B&T","24,295,234"
"2009-03-01","MNR","6,593,183"
"2009-04-01","B&T","24,839,950"
"2009-04-01","MNR","6,600,645"
"2009-05-01","B&T","26,019,431"
"2009-05-01","MNR","6,387,435"
"2009-06-01","B&T","25,847,929"
"2009-06-01","MNR","6,864,270"
"2009-07-01","B&T","26,152,065"
"2009-07-01","MNR","6,830,791"
"2009-08-01","B&T","26,084,323"
"2009-08-01","MNR","6,392,629"
"2009-09-01","B&T","24,838,705"
"2009-09-01","MNR","6,511,692"
"2009-10-01","B&T","25,300,215"
"2009-10-01","MNR","6,788,990"
"2009-11-01","B&T","23,898,100"
"2009-11-01","MNR","6,336,672"
"2009-12-01","B&T","23,775,856"
"2009-12-01","MNR","6,761,648"
"2010-01-01","B&T","22,601,000"
"2010-01-01","MNR","5,935,008"
"2010-02-01","B&T","19,389,016"
"2010-02-01","MNR","5,572,064"
"2010-03-01","B&T","24,782,495"
"2010-03-01","MNR","6,769,641"
"2010-04-01","B&T","24,845,798"
"2010-04-01","MNR","6,675,241"
"2010-05-01","B&T","26,252,605"
"2010-05-01","MNR","6,580,762"
"2010-06-01","B&T","26,218,749"
"2010-06-01","MNR","6,992,372"
"2010-07-01","B&T","26,250,587"
"2010-07-01","MNR","6,832,493"
"2010-08-01","B&T","26,468,484"
"2010-08-01","MNR","6,747,243"
"2010-09-01","B&T","24,895,673"
"2010-09-01","MNR","6,693,644"
"2010-10-01","B&T","25,745,102"
"2010-10-01","MNR","6,867,305"
"2010-11-01","B&T","24,276,731"
"2010-11-01","MNR","6,654,086"
"2010-12-01","B&T","23,232,917"
"2010-12-01","MNR","6,924,465"
"2011-01-01","B&T","20,667,163"
"2011-01-01","MNR","5,916,958"
"2011-02-01","B&T","20,416,996"
"2011-02-01","MNR","5,685,834"
"2011-03-01","B&T","24,217,298"
"2011-03-01","MNR","6,896,269"
"2011-04-01","B&T","23,862,645"
"2011-04-01","MNR","6,648,157"
"2011-05-01","B&T","25,431,952"
"2011-05-01","MNR","6,788,759"
"2011-06-01","B&T","25,570,907"
"2011-06-01","MNR","7,164,508"
"2011-07-01","B&T","25,760,847"
"2011-07-01","MNR","6,854,351"
"2011-08-01","B&T","24,569,331"
"2011-08-01","MNR","6,551,648"
"2011-09-01","B&T","24,267,823"
"2011-09-01","MNR","6,860,460"
"2011-10-01","B&T","24,418,354"
"2011-10-01","MNR","6,945,233"
"2011-11-01","B&T","23,755,837"
"2011-11-01","MNR","6,851,523"
"2011-12-01","B&T","23,977,111"
"2011-12-01","MNR","7,201,122"
"2012-01-01","B&T","22,057,316"
"2012-01-01","MNR","6,419,039"
"2012-02-01","B&T","21,540,526"
"2012-02-01","MNR","6,265,035"
"2012-03-01","B&T","24,224,899"
"2012-03-01","MNR","6,994,606"
"2012-04-01","B&T","23,927,256"
"2012-04-01","MNR","6,831,738"
"2012-05-01","B&T","25,487,361"
"2012-05-01","MNR","7,094,282"
"2012-06-01","B&T","25,516,755"
"2012-06-01","MNR","7,121,125"
"2012-07-01","B&T","25,161,554"
"2012-07-01","MNR","7,062,979"
"2012-08-01","B&T","25,947,715"
"2012-08-01","MNR","7,192,537"
"2012-09-01","B&T","24,037,363"
"2012-09-01","MNR","6,618,194"
"2012-10-01","B&T","23,242,718"
"2012-10-01","MNR","6,639,905"
"2012-11-01","B&T","21,345,408"
"2012-11-01","MNR","6,211,787"
"2012-12-01","B&T","23,688,503"
"2012-12-01","MNR","6,901,053"
"2013-01-01","B&T","22,576,303"
