"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"04/30/2026 12:00:00 AM","subway","111","Seneca Av (M)","Queens","omny","OMNY - Full Fare","2","0","40.702763","-73.90774","POINT (-73.90774 40.702763)"
"04/30/2026 12:00:00 AM","subway","122","Graham Av (L)","Brooklyn","omny","OMNY - Students","2","0","40.714565","-73.94405","POINT (-73.94405 40.714565)"
"04/30/2026 12:00:00 AM","subway","150","155 St (C)","Manhattan","omny","OMNY - Seniors & Disability","1","1","40.830517","-73.94151","POINT (-73.94151 40.830517)"
"04/30/2026 12:00:00 AM","subway","176","Lafayette Av (C)","Brooklyn","omny","OMNY - Fair Fare","1","0","40.68611","-73.973946","POINT (-73.973946 40.68611)"
"04/30/2026 12:00:00 AM","subway","256","Parsons Blvd (F)","Queens","omny","OMNY - Full Fare","13","0","40.707565","-73.80333","POINT (-73.80333 40.707565)"
"04/30/2026 12:00:00 AM","subway","257","Sutphin Blvd (F)","Queens","omny","OMNY - Students","1","0","40.70546","-73.81071","POINT (-73.81071 40.70546)"
"04/30/2026 12:00:00 AM","subway","26","DeKalb Av (B,Q,R)","Brooklyn","omny","OMNY - Seniors & Disability","5","0","40.690636","-73.98183","POINT (-73.98183 40.690636)"
"04/30/2026 12:00:00 AM","subway","345","Crown Hts-Utica Av (3,4)","Brooklyn","omny","OMNY - Students","2","0","40.668896","-73.932945","POINT (-73.932945 40.668896)"
"04/30/2026 12:00:00 AM","subway","405","23 St-Baruch College (6)","Manhattan","metrocard","Metrocard - Other","1","0","40.739864","-73.9866","POINT (-73.9866 40.739864)"
"04/30/2026 12:00:00 AM","subway","460","33 St-Rawson St (7)","Queens","omny","OMNY - Students","2","0","40.744587","-73.931","POINT (-73.931 40.744587)"
"04/30/2026 12:00:00 AM","subway","147","175 St (A)","Manhattan","omny","OMNY - Full Fare","8","0","40.84739","-73.939705","POINT (-73.939705 40.84739)"
"04/30/2026 12:00:00 AM","subway","179","Nostrand Av (A,C)","Brooklyn","omny","OMNY - Fair Fare","4","1","40.68044","-73.950424","POINT (-73.950424 40.68044)"
"04/30/2026 12:00:00 AM","subway","259","Kew Gardens-Union Tpke (E,F)","Queens","omny","OMNY - Other","10","0","40.71444","-73.83101","POINT (-73.83101 40.71444)"
"04/30/2026 12:00:00 AM","subway","291","Clinton-Washington Avs (G)","Brooklyn","omny","OMNY - Students","1","0","40.688087","-73.96684","POINT (-73.96684 40.688087)"
"04/30/2026 12:00:00 AM","subway","38","86 St (R)","Brooklyn","omny","OMNY - Students","2","0","40.62269","-74.0284","POINT (-74.0284 40.62269)"
"04/30/2026 12:00:00 AM","subway","10","49 St (N,R,W)","Manhattan","omny","OMNY - Fair Fare","15","0","40.7599","-73.98414","POINT (-73.98414 40.7599)"
"04/30/2026 12:00:00 AM","subway","120","Bedford Av (L)","Brooklyn","omny","OMNY - Full Fare","205","1","40.717304","-73.95687","POINT (-73.95687 40.717304)"
"04/30/2026 12:00:00 AM","subway","14","23 St (R,W)","Manhattan","omny","OMNY - Full Fare","153","1","40.741302","-73.98934","POINT (-73.98934 40.741302)"
"04/30/2026 12:00:00 AM","subway","187","Shepherd Av (C)","Brooklyn","omny","OMNY - Full Fare","5","0","40.67413","-73.88075","POINT (-73.88075 40.67413)"
"04/30/2026 12:00:00 AM","subway","366","Parkchester (6)","Bronx","omny","OMNY - Students","2","0","40.833225","-73.86082","POINT (-73.86082 40.833225)"
"04/30/2026 12:00:00 AM","subway","627","Franklin Av (C,S)","Brooklyn","omny","OMNY - Fair Fare","1","0","40.68099","-73.95634","POINT (-73.95634 40.68099)"
"04/30/2026 12:00:00 AM","subway","13","28 St (R,W)","Manhattan","omny","OMNY - Fair Fare","6","0","40.745495","-73.98869","POINT (-73.98869 40.745495)"
"04/30/2026 12:00:00 AM","subway","130","Wilson Av (L)","Brooklyn","omny","OMNY - Full Fare","12","0","40.688763","-73.904045","POINT (-73.904045 40.688763)"
"04/30/2026 12:00:00 AM","subway","183","Rockaway Av (C)","Brooklyn","omny","OMNY - Seniors & Disability","2","0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"04/30/2026 12:00:00 AM","subway","228","23 St (F,M)","Manhattan","omny","OMNY - Fair Fare","6","0","40.742878","-73.99282","POINT (-73.99282 40.742878)"
"04/30/2026 12:00:00 AM","subway","228","23 St (F,M)","Manhattan","omny","OMNY - Students","4","0","40.742878","-73.99282","POINT (-73.99282 40.742878)"
"04/30/2026 12:00:00 AM","subway","251","Avenue U (F)","Brooklyn","omny","OMNY - Full Fare","1","0","40.59606","-73.97336","POINT (-73.97336 40.59606)"
"04/30/2026 12:00:00 AM","subway","277","7 Av (E,B,D)","Manhattan","metrocard","Metrocard - Other","1","0","40.762863","-73.981636","POINT (-73.981636 40.762863)"
"04/30/2026 12:00:00 AM","subway","282","21 St (G)","Queens","omny","OMNY - Seniors & Disability","1","0","40.744064","-73.94972","POINT (-73.94972 40.744064)"
